, 距离（米） ,showName,建成年代,楼栋数, 总户数 , 成交均价（元） , 在售均价（元） ,在售套数,纬度,经度,详情页链接,地图链接,rentTotal,1室房租均价
5011000000076," 4,323 ",仲义苑,2002.0,6.0, 67 ," 50,442 "," 58,704 ",3.0,31.137059,121.389816,http://m.sh.lianjia.com/xiaoqu/5011000000076.html,"http://m.sh.lianjia.com/map/pos?pos=121.389816,31.137059",2.0,
5011000000098," 6,039 ",朗诗虹桥绿郡（别墅）,2013.0,7.0, 7 , -   ," 120,141 ",1.0,31.21630561,121.4204728,http://m.sh.lianjia.com/xiaoqu/5011000000098.html,"http://m.sh.lianjia.com/map/pos?pos=121.4204728,31.21630561",,
5011000000151," 4,062 ",龙祥嘉园（别墅）,2008.0,32.0, 32 , -   ," 74,487 ",1.0,31.139488,121.388929,http://m.sh.lianjia.com/xiaoqu/5011000000151.html,"http://m.sh.lianjia.com/map/pos?pos=121.388929,31.139488",,
5011000000249," 4,437 ",大都会高尔夫和风（公寓）,2002.0,4.0, 62 ," 33,695 "," 48,132 ",3.0,31.16952273,121.3383099,http://m.sh.lianjia.com/xiaoqu/5011000000249.html,"http://m.sh.lianjia.com/map/pos?pos=121.3383099,31.16952273",,
5011000000257," 3,630 ",蓼花汀花园（别墅）,2005.0,8.0, 8 , -   ," 81,026 ",1.0,31.14296517,121.3700574,http://m.sh.lianjia.com/xiaoqu/5011000000257.html,"http://m.sh.lianjia.com/map/pos?pos=121.3700574,31.14296517",3.0,
5011000000261," 1,746 ",春之苑,2003.0,13.0, 139 ," 41,700 "," 51,870 ",1.0,31.18250242,121.3624675,http://m.sh.lianjia.com/xiaoqu/5011000000261.html,"http://m.sh.lianjia.com/map/pos?pos=121.3624675,31.18250242",5.0,
5011000000266," 5,208 ",安顺路289号,1982.0,1.0, 24 ," 69,868 "," 77,552 ",1.0,31.20589711,121.4179785,http://m.sh.lianjia.com/xiaoqu/5011000000266.html,"http://m.sh.lianjia.com/map/pos?pos=121.4179785,31.20589711",,
5011000000389," 4,916 ",伊犁路110弄,1982.0,4.0, 66 , -   ," 72,033 ",2.0,31.20696855,121.4141187,http://m.sh.lianjia.com/xiaoqu/5011000000389.html,"http://m.sh.lianjia.com/map/pos?pos=121.4141187,31.20696855",,
5011000000449," 1,449 ",程家桥路211弄,1994.0,3.0, 36 , -   ," 49,439 ",1.0,31.192499,121.380226,http://m.sh.lianjia.com/xiaoqu/5011000000449.html,"http://m.sh.lianjia.com/map/pos?pos=121.380226,31.192499",,
5011000000456," 5,808 ",九亭明珠苑（别墅）,2002.0,181.0, 181 ," 41,951 "," 45,460 ",3.0,31.13750627,121.3402194,http://m.sh.lianjia.com/xiaoqu/5011000000456.html,"http://m.sh.lianjia.com/map/pos?pos=121.3402194,31.13750627",,
5011000000611," 3,278 ",枫荷兰庭,2009.0,6.0, 72 , -   ," 65,294 ",2.0,31.151927,121.360086,http://m.sh.lianjia.com/xiaoqu/5011000000611.html,"http://m.sh.lianjia.com/map/pos?pos=121.360086,31.151927",,
5011000000679," 5,616 ",天山路1726弄,1988.0,10.0, 210 ," 65,463 "," 75,784 ",1.0,31.21642616,121.415298,http://m.sh.lianjia.com/xiaoqu/5011000000679.html,"http://m.sh.lianjia.com/map/pos?pos=121.415298,31.21642616",,
5011000000861, 738 ,复地紫藤里,2016.0,10.0, 122 ," 85,406 "," 84,372 ",1.0,31.17789676,121.3711515,http://m.sh.lianjia.com/xiaoqu/5011000000861.html,"http://m.sh.lianjia.com/map/pos?pos=121.3711515,31.17789676",,
5011000000967," 3,111 ",古北壹号,2015.0,8.0, 315 , -   ," 156,813 ",1.0,31.193284,121.4026106,http://m.sh.lianjia.com/xiaoqu/5011000000967.html,"http://m.sh.lianjia.com/map/pos?pos=121.4026106,31.193284",,
5011000001394," 2,225 ",虹桥机场新村,2000.0,171.0," 2,411 "," 49,157 "," 52,833 ",16.0,31.19116821,121.3613971,http://m.sh.lianjia.com/xiaoqu/5011000001394.html,"http://m.sh.lianjia.com/map/pos?pos=121.3613971,31.19116821",7.0,
5011000001540," 3,208 ",佳宝新村,1996.0,15.0, 232 ," 47,714 "," 49,042 ",4.0,31.16111953,121.3531913,http://m.sh.lianjia.com/xiaoqu/5011000001540.html,"http://m.sh.lianjia.com/map/pos?pos=121.3531913,31.16111953",1.0,
5011000001625," 1,038 ",龙柏一村,1997.0,56.0, 936 ," 46,851 "," 60,363 ",9.0,31.18792944,121.3744608,http://m.sh.lianjia.com/xiaoqu/5011000001625.html,"http://m.sh.lianjia.com/map/pos?pos=121.3744608,31.18792944",11.0,
5011000001783," 4,567 ",同盛豪园,2002.0,48.0, 192 ," 47,739 "," 72,606 ",4.0,31.13814175,121.3977224,http://m.sh.lianjia.com/xiaoqu/5011000001783.html,"http://m.sh.lianjia.com/map/pos?pos=121.3977224,31.13814175",,
5011000001916," 4,772 ",凯迪虹桥晶舍,2014.0,1.0, 182 ," 48,637 "," 80,436 ",1.0,31.187193,121.420468,http://m.sh.lianjia.com/xiaoqu/5011000001916.html,"http://m.sh.lianjia.com/map/pos?pos=121.420468,31.187193",1.0,
