dataId, 距离（米） ,小区名称,建成年代,楼栋数,总户数,区县,板块,在售套数,成交均价（元）,在售均价（元）,在租房源数,1室房租均价,2室房租均价,3室房租均价,百度地图纬度,百度地图经度,详情页链接,地图链接
5011000015174," 5,239 ",奥林匹克花园,2010,337,5309,松江,九亭,170,46629,48707,101,3981.25,5162.068966,5984.864865,31.15272248,121.3362569,http://m.sh.lianjia.com/xiaoqu/5011000015174.html,"http://m.sh.lianjia.com/map/pos?pos=121.3362569,31.15272248"
5011000018313," 3,137 ",万科城市花园,1998,304,4097,闵行,七宝,91,52546,51853,60,4403.75,5940,5525.714286,31.16664947,121.3513579,http://m.sh.lianjia.com/xiaoqu/5011000018313.html,"http://m.sh.lianjia.com/map/pos?pos=121.3513579,31.16664947"
5011000016116," 6,009 ",三盛颐景园（公寓）,2008,250,2876,松江,九亭,73,40934,43938,24,,4956.25,5142.857143,31.128742,121.346888,http://m.sh.lianjia.com/xiaoqu/5011000016116.html,"http://m.sh.lianjia.com/map/pos?pos=121.346888,31.128742"
5011000012423," 3,959 ",江南星城,2005,237,2917,闵行,古美,58,62201,67667,35,2565,6045.454545,5364.117647,31.142667,121.393657,http://m.sh.lianjia.com/xiaoqu/5011000012423.html,"http://m.sh.lianjia.com/map/pos?pos=121.393657,31.142667"
5011000015337," 3,500 ",皇都花园（公寓）,2010,28,1334,闵行,七宝,52,67916,74372,25,,9700,14893.75,31.143427,121.374592,http://m.sh.lianjia.com/xiaoqu/5011000015337.html,"http://m.sh.lianjia.com/map/pos?pos=121.374592,31.143427"
5011000018052," 5,824 ",罗阳七村,2004,220,2947,闵行,梅陇,51,52024,53642,21,3557.142857,4516.666667,4836.666667,31.129653,121.407041,http://m.sh.lianjia.com/xiaoqu/5011000018052.html,"http://m.sh.lianjia.com/map/pos?pos=121.407041,31.129653"
5011000012927," 6,108 ",象屿都城,2013,96,2132,松江,九亭,48,38851,45752,27,4000,4780,5461.111111,31.12922,121.344736,http://m.sh.lianjia.com/xiaoqu/5011000012927.html,"http://m.sh.lianjia.com/map/pos?pos=121.344736,31.12922"
5011000017768," 1,746 ",航华一村,2005,277,4075,闵行,航华,47,48914,48071,20,3877.5,4348.888889,4830,31.18250242,121.3624675,http://m.sh.lianjia.com/xiaoqu/5011000017768.html,"http://m.sh.lianjia.com/map/pos?pos=121.3624675,31.18250242"
5011000016308," 1,400 ",龙柏二村,1997,186,2658,闵行,龙柏,43,58079,58143,39,3993.333333,5006.363636,3914.444444,31.18806912,121.3687945,http://m.sh.lianjia.com/xiaoqu/5011000016308.html,"http://m.sh.lianjia.com/map/pos?pos=121.3687945,31.18806912"
5011000016893," 4,945 ",天山河畔花园,2008,25,1964,长宁,天山,43,75694,87689,45,,15285.71429,17679.16667,31.222624,121.397672,http://m.sh.lianjia.com/xiaoqu/5011000016893.html,"http://m.sh.lianjia.com/map/pos?pos=121.397672,31.222624"
5011000018067," 3,150 ",名都城（公寓）,1999,29,1512,闵行,金虹桥,42,54835,68872,44,,14540,19641.66667,31.19661,121.401119,http://m.sh.lianjia.com/xiaoqu/5011000018067.html,"http://m.sh.lianjia.com/map/pos?pos=121.401119,31.19661"
5011000016507," 6,379 ",中梅苑,2006,72,2407,闵行,梅陇,38,58369,65456,25,4250,5815,7600,31.135983,121.421301,http://m.sh.lianjia.com/xiaoqu/5011000016507.html,"http://m.sh.lianjia.com/map/pos?pos=121.421301,31.135983"
5011000012113," 5,879 ",梅陇二村,1995,183,2386,闵行,梅陇,35,46223,61414,17,3612.857143,4288.888889,,31.13900687,121.4176603,http://m.sh.lianjia.com/xiaoqu/5011000012113.html,"http://m.sh.lianjia.com/map/pos?pos=121.4176603,31.13900687"
