关键词,价格区间,地址,排名方式,店铺旺旺,宝贝标题,宝贝链接,宝贝id,宝贝价格,宝贝销量,在线人数,标题排除内容
手表,200.00-2000.00,广州,销量从高到低,宾卡达旗舰店,正品宾卡达手表男士全自动机械表男表镂空时尚潮流夜光防水男腕表,https://detail.tmall.com/item.htm?id=521853093033&ns=1&abbucket=9,521853093033,320.00,3142,982,海鸥
手表,200.00-2000.00,广州,销量从高到低,benken旗舰店,benken正品真皮超薄手表男士皮带时尚男表学生腕表钢带防水石英表,https://detail.tmall.com/item.htm?id=540011584235&ns=1&abbucket=9,540011584235,228.00,2613,906,海鸥
手表,200.00-2000.00,广州,销量从高到低,宾卡达万威龙专卖店,正品宾卡达手表男士全自动机械表时尚镂空防水夜光男表精钢商务,https://detail.tmall.com/item.htm?id=534661992954&ns=1&abbucket=9,534661992954,298.00,2458,589,海鸥
手表,200.00-2000.00,广州,销量从高到低,百世伦旗舰店,百世伦男士手表石英表防水夜光精钢带休闲商务日历韩版简约男,https://detail.tmall.com/item.htm?id=535640396682&ns=1&abbucket=9,535640396682,238.00,1799,605,海鸥
手表,200.00-2000.00,广州,销量从高到低,冠琴手表旗舰店,冠琴手表男士防水全自动机械表精钢带夜光超薄双日历商务时尚男表,https://detail.tmall.com/item.htm?id=540464489138&ns=1&abbucket=9,540464489138,298.00,1454,788,海鸥
手表,200.00-2000.00,广州,销量从高到低,宾卡达力钻专卖店,正品宾卡达手表男士全自动机械表男表镂空精钢防水夜光陀飞轮情侣,https://detail.tmall.com/item.htm?id=534471912148&ns=1&abbucket=9,534471912148,258.00,1256,388,海鸥
手表,200.00-2000.00,广州,销量从高到低,欧顿旗舰店,欧顿手表男 机械表男表 全自动 男士机械手表 防水钢带精钢双日历,https://detail.tmall.com/item.htm?id=539340440567&ns=1&abbucket=9,539340440567,298.00,1228,181,海鸥
手表,200.00-2000.00,广州,销量从高到低,bestdon帝瑞专卖店,邦顿手表男士机械表全自动时尚潮流防水真皮带镂空大表盘休闲男表,https://detail.tmall.com/item.htm?id=534234960866&ns=1&abbucket=9,534234960866,428.00,1083,1099,海鸥
手表,200.00-2000.00,广州,销量从高到低,leonidas旗舰店,正品钨钢男表时尚情侣手表一对防水韩版商务男士手表石英表女,https://detail.tmall.com/item.htm?id=521802534470&ns=1&abbucket=9,521802534470,269.00,1072,577,海鸥
手表,200.00-2000.00,广州,销量从高到低,oyalie欧亚利旗舰店,新款欧亚利正品全自动机械表 薄款防水手表男士时尚品质精钢男表,https://detail.tmall.com/item.htm?id=535563697458&ns=1&abbucket=9,535563697458,688.00,963,496,海鸥
手表,200.00-2000.00,广州,销量从高到低,mstre旗舰店,名仕爵全自动机械表男士手表钢带镂空夜光防水时尚潮流男表机械表,https://detail.tmall.com/item.htm?id=44381956307&ns=1&abbucket=9,44381956307,388.00,946,599,海鸥
手表,200.00-2000.00,广州,销量从高到低,aesop伊索旗舰店,伊索正品名表 全自动机械表钢带男表 时尚防水多功能男士情侣,https://detail.tmall.com/item.htm?id=43395695232&ns=1&abbucket=9,43395695232,398.00,902,245,海鸥
手表,200.00-2000.00,广州,销量从高到低,bestdon帝瑞专卖店,邦顿男士手表 超薄简约休闲时尚潮流男表学生防水石英表钢带腕表,https://detail.tmall.com/item.htm?id=534345198562&ns=1&abbucket=9,534345198562,338.00,809,662,海鸥
手表,200.00-2000.00,广州,销量从高到低,腾翼手表专营店,天陀时尚镶钻全自动机械表 夜光防水男士手表 双日历金色男表8629,https://detail.tmall.com/item.htm?id=44162122617&ns=1&abbucket=9,44162122617,388.00,803,701,海鸥
手表,200.00-2000.00,广州,销量从高到低,邦顿骏钰专卖店,邦顿手表男士机械表全自动防水镂空真皮带男表休闲运动男款大表盘,https://detail.tmall.com/item.htm?id=524614065287&ns=1&abbucket=9,524614065287,428.00,774,754,海鸥
手表,200.00-2000.00,广州,销量从高到低,斯卡络手表旗舰店,斯卡络四叶草正品女士自动机械表皮带钻女表镂空防水时尚潮流,https://detail.tmall.com/item.htm?id=523219840212&ns=1&abbucket=9,523219840212,398.00,765,277,海鸥
手表,200.00-2000.00,广州,销量从高到低,冠琴祥鸣睿专卖店,GUANQIN冠琴手表男士超薄真皮带机械表 全自动防水日历镂空男表腕,https://detail.tmall.com/item.htm?id=25891904673&ns=1&abbucket=9,25891904673,298.00,755,248,海鸥
手表,200.00-2000.00,广州,销量从高到低,jsdun金仕盾旗舰店,金仕盾正品手表男士全自动机械表 钢带时尚腕表 夜光防水男表情侣,https://ju.taobao.com/tg/home.htm?item_id=523403652115&tracelog=fromsearch&abbucket=9,523403652115,368.00,736,385,海鸥
手表,200.00-2000.00,广州,销量从高到低,腾翼手表专营店,金仕盾全自动机械表 时尚防水手表男士钢带表 夜光商务男表情侣,https://detail.tmall.com/item.htm?id=20852311147&ns=1&abbucket=9,20852311147,398.00,702,173,海鸥
