关键词,价格区间,地址,排名方式,店铺旺旺,宝贝标题,宝贝链接,宝贝id,宝贝价格,宝贝销量,在线人数,标题排除内容
鞋,-,发货地,综合排序,lacoste官方旗舰店,LACOSTE 男士鞋子M1032RK1,https://click.simba.taobao.com/cc_im?p=%D0%AC&s=160672359&k=461&e=zcRXKAsFoklTYc6JHxMDm96SKicCyCCxBaGPCCWb5l1K7DdlioegJ4anbANpBB%2BEKSvUAR1u2jXRbb3f0jb6s5zct09e8QZIPx3W7IqEaVcWOEtFNj3SBNx8Vt69PlzkWe4r92BxvJRQfmlCaHNuWwgADZbwj75SxnELTJHq1y703%2BhKdNybTqanCPmrQJf8ZKg1qi%2B37eCM4Ge%2BtVvQW10Scijd5bmbZrBrcuk9aNrQHFFIb3ECHqQBim9PNzqK4W9asA5AsIpIXrrpNFYqqxm2ew4BgBBVPojgZ39b%2FHs35YeAd0MdWALpDV4AcIrwcb30FZmh%2BWxAx0qd%2BvEMzrPNV%2F75x0jgB%2BIQaRV9cXlj0Zd0paAHIpmo2OHyv3T9gEj6YqxZEurgygp4UTV%2Flu3JY9e8sinimPdc4%2FWCkWzpNUgR4tc9bsC3lc4BpbsCbQnQuPoNNFw%3D,544546711046,789.00,79,159,花花公子;安踏
鞋,-,发货地,综合排序,人本鞋类旗舰店,人本学生韩版白色帆布鞋女鞋春厚底小白鞋女内增高平底运动百搭,https://detail.tmall.com/item.htm?id=525516030611&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=11,525516030611,69.00,29707,6165,花花公子;安踏
鞋,-,发货地,综合排序,匹克官方旗舰店,匹克2017春夏跑步鞋男网面透气轻便休闲男鞋运动鞋旅游慢跑,https://detail.tmall.com/item.htm?id=525363982543&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=11,525363982543,219.00,5228,619,花花公子;安踏
鞋,-,发货地,综合排序,拉拉猪旗舰店,2017春秋儿童鞋帆布鞋男童女童宝宝单鞋小童鞋子1-3岁2板韩版潮,https://detail.tmall.com/item.htm?id=526448711723&ns=1&abbucket=11,526448711723,29.80,8965,1533,花花公子;安踏
鞋,-,发货地,综合排序,顽皮野丫丫,韩版潮包邮秋款儿童鞋男童女童帆布鞋宝宝单鞋小童子1-3岁2板,https://item.taobao.com/item.htm?id=536017457483&ns=1&abbucket=11#detail,536017457483,15.80,3685,521,花花公子;安踏
鞋,-,发货地,综合排序,公牛世家官方旗舰店,公牛世家春季男鞋男士商务正装皮鞋男真皮系带英伦圆头青年子,https://detail.tmall.com/item.htm?id=525851473826&ns=1&abbucket=11,525851473826,199.00,1542,151,花花公子;安踏
鞋,-,发货地,综合排序,回力赞莲专卖店,回力男鞋休闲鞋网鞋透气网面鞋男士一脚蹬懒人鞋夏季跑步运动布,https://detail.tmall.com/item.htm?id=529108874495&ns=1&abbucket=11,529108874495,49.00,1552,59,花花公子;安踏
鞋,-,发货地,综合排序,芭芭鸭旗舰店,芭芭鸭儿童帆布鞋男童鞋小白球鞋单鞋女童休闲鞋宝宝布春2017新,https://detail.tmall.com/item.htm?id=520374385871&ns=1&abbucket=11,520374385871,39.90,20619,1652,花花公子;安踏
鞋,-,发货地,综合排序,路施南旗舰店,路施南真皮工作鞋女黑色职业鞋平底单鞋女圆头空姐软底平跟工,https://detail.tmall.com/item.htm?id=37121222253&ns=1&abbucket=11,37121222253,128.00,1496,258,花花公子;安踏
鞋,-,发货地,综合排序,bobdog巴布豆童鞋旗舰店,巴布豆童鞋 男童鞋2017春秋新款网面男女童鞋休闲儿童运动,https://detail.tmall.com/item.htm?id=540799029662&ns=1&abbucket=11,540799029662,99.00,1362,374,花花公子;安踏
鞋,-,发货地,综合排序,淘妮喜欢联帆专卖店,婴儿鞋春秋0-1-2岁男女宝宝软底学步鞋婴儿步前鞋幼儿婴儿布,https://detail.tmall.com/item.htm?id=41326559362&ns=1&abbucket=11,41326559362,22.00,1868,966,花花公子;安踏
鞋,-,发货地,综合排序,牧童官方旗舰店,牧童童鞋新款女童运动鞋防滑气垫底儿童运动休闲鞋,https://detail.tmall.com/item.htm?id=536371589035&ns=1&abbucket=11,536371589035,99.00,708,51,花花公子;安踏
鞋,-,发货地,综合排序,牧童官方旗舰店,牧童童鞋新款女童气垫底运动鞋魔术贴儿童运动鞋透气网布,https://detail.tmall.com/item.htm?id=535428416123&ns=1&abbucket=11,535428416123,99.00,1124,98,花花公子;安踏
鞋,-,发货地,综合排序,如熙旗舰店,如熙2017春季新款单鞋乐福鞋女鞋韩版潮粗跟休闲鞋子百搭,https://detail.tmall.com/item.htm?id=544375044819&ns=1&abbucket=11,544375044819,139.00,4458,2199,花花公子;安踏
鞋,-,发货地,综合排序,361度官方旗舰,361度男鞋运动鞋夏季透气情侣跑鞋女鞋361全掌气垫减震休闲跑步,https://detail.tmall.com/item.htm?id=542919014291&ns=1&abbucket=11,542919014291,269.00,9967,2278,花花公子;安踏
