关键词,价格区间,地址,排名方式,店铺旺旺,宝贝标题,宝贝链接,宝贝id,宝贝价格,宝贝销量,在线人数50-10000000,标题排除内容
鞋,-,发货地,综合排序,lacoste官方旗舰店,LACOSTE 男士鞋子M1032RK1,https://click.simba.taobao.com/cc_im?p=%D0%AC&s=1071838418&k=461&e=%2BAyZiA6y7yuW%2FlZSUJCdvOd6p7AqFxn6dR4OmU9rZ3WUp644i2Cs2%2FT4%2FwFnlbzU1SCsJa38MCTbuzIqkl3OkbeE5wQi5IuEePTfzTCNnZa8bu5yaQ7Zkd6QhDnf6qWIaSQXE8RcF3c9gxThokxIogVNBIQnVHTGVA0qWTvyQ672X5aWnPq2gRN7nZY96rtPXSm%2FeFUa5b8KOc9KYvrG64lB1iaX1sFtb%2BrsEaQYdLlaWW2HH7jyGca0eeJRImyKCqRW6mRfOmJ7Oz7UsZDZvSonjlaYQCcMC%2BPeeb%2BGlzYMjt%2Fcbd2Tn66%2B9YB3zcnJNVfVu27FT%2FgDVJByZjNMWH%2BRun8YWgytV2ovM7fWt3Opo%2F6DT6trSaAUAWVLqPjkCiUei4p4ywOh9zxcX7jWcJrcuRaWmtAb9UIgEiXIE14eS6GFwjj0W%2FEyWyOrwtWYuijGxrMBkww%3D,544546711046,789.00,76,114,
鞋,-,发货地,综合排序,nike官方旗舰店,Nike 耐克官方 NIKE ROSHE ONE 男子运动鞋 511881,https://detail.tmall.com/item.htm?id=39981905194&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=10,39981905194,499.00,7016,5022,
鞋,-,发货地,综合排序,迪卡侬旗舰店,迪卡侬跑步鞋男鞋春夏季网面透气缓震跑鞋男运动鞋休闲KALENJI,https://detail.tmall.com/item.htm?id=40463392182&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=10,40463392182,109.00,5715,798,
鞋,-,发货地,综合排序,金牛骑士旗舰店,2017新款春季韩版潮流男鞋子潮鞋男士休闲鞋增高板百搭英伦皮,https://detail.tmall.com/item.htm?id=537935128424&ns=1&abbucket=10,537935128424,139.00,17603,2607,
鞋,-,发货地,综合排序,库都概念旗舰店,春季男士运动休闲鞋潮鞋板鞋阿甘男鞋子韩版潮流百搭社会小伙子,https://detail.tmall.com/item.htm?id=540918334391&ns=1&abbucket=10,540918334391,58.00,2850,362,
鞋,-,发货地,综合排序,月亮代表我的心yzh,青春十一运动鞋女韩版ulzzang原宿百搭休闲鞋子女学生厚底白潮,https://item.taobao.com/item.htm?id=543676255005&ns=1&abbucket=10#detail,543676255005,58.99,2555,569,
鞋,-,发货地,综合排序,品牌童鞋3兄弟,回力男鞋帆布鞋男休闲鞋学生运动鞋夏季透气低帮时尚运动布子,https://item.taobao.com/item.htm?id=537419368921&ns=1&abbucket=10#detail,537419368921,59.00,1631,168,
鞋,-,发货地,综合排序,名品汇运动专营店,李宁休闲鞋官方旗舰店男鞋春季新款征荣复古轻便透气运动慢跑,https://detail.tmall.com/item.htm?id=531684045729&ns=1&abbucket=10,531684045729,169.00,1946,1743,
鞋,-,发货地,综合排序,富罗迷旗舰店,富罗迷秋低帮女童运动鞋儿童休闲童鞋17新款学生板韩版跑步,https://detail.tmall.com/item.htm?id=536727429772&ns=1&abbucket=10,536727429772,79.00,1782,192,
鞋,-,发货地,综合排序,人本鞋类旗舰店,人本2017春季文艺小白鞋女 韩版系带学生休闲板鞋 内增高女单子,https://detail.tmall.com/item.htm?id=544467354263&ns=1&abbucket=10,544467354263,99.00,10611,2168,
