bmw,bmw-e36-m3-3-0,BMW E36 M3 3.0 Front Strut Bar / Front Tower Bar,,,,http://ultraracing.my/ecatalog/index.php/product/bmw-e36-m3-3-0-front-strut-bar-front-tower-bar/
bmw,bmw-e37-z3-1-9-roadster-2wd-1995,BMW E37 Z3 1.9 (Roadster) 2WD (1995) Rear Member Brace / Rear Lower Bar,URTW-LA4-2972,4 Points,Front Member Brace / Front Lower Bar	Code: URTW-LA4-2972	Specification: 4 Points	Remark: For Manual Transmission	(Fabrication based on Taiwan models)	Front Strut Bar / Front Upper Brace / Front Tower Bar	Code: URTW-TW2-2971	Specification: 2 Points	Remark: For Manual Transmission	(Fabrication based on Taiwan models)	Middle Member Brace / Middle Lower Bar	Code: URTW-ML2-2973	Specification: 2 Points	Remark: For Manual Transmission	(Fabrication based on Taiwan models),http://ultraracing.my/ecatalog/index.php/product/bmw-e37-z3-1-9-roadster-2wd-1995-rear-member-brace-rear-lower-bar/
bmw,bmw-e36-3-series,BMW E36 3 Series Room Bar / Rear Cross Bar,UR-LA4-1278,4 Points (For 325 Only),Front Lower Bar / Front Member Brace	Code: UR-LA4-1278	Specification: 4 Points (For 325 Only)	Front Anti-roll Bar / Front Sway Bar / Front Stabilizer Bar	Code: UR-AR28-278	Specification: 28mm solid with Polyurethane Bushing (Standard 24mm Solid)	Front Lower Bar / Front Member Brace	Code: UR-LA4-940	Specification: 4 Points (For 328 / 318 Only)	Front Strut Bar / Front Tower Bar	Code: UR-TW2-100	Specification: 2 points (For 318 Timing Belt Only),http://ultraracing.my/ecatalog/index.php/product/bmw-e36-3-series-room-bar-rear-cross-bar-2/
bmw,bmw-e30-3-series,BMW E30 3 Series Rear Upper Brace / C Pillar Bar / Rear Upper Bar,UR-AR20-103,20mm solid with Polyurethane Bushing (Standard 18mm solid),Front Anti-roll Bar / Front Sway Bar / Front Stabilizer Bar	Code: UR-AR20-103	Specification: 20mm solid with Polyurethane Bushing (Standard 18mm solid)	Front Anti-roll Bar / Front Sway Bar / Front Stabilizer Bar	Code: UR-AR23-224	Specification: 23mm solid with Polyurethane Bushing (Standard 18mm solid)	Front Lower Bar / Front Member Brace	Code: UR-LA4-1082	Specification: 4 Points (Only For Vehicles with Power Steering)	Remark: For 4 Doors Only	Front Lower Bar / Front Member Brace	Code: UR-LA4-2841	Specification: 4 Points	Remark: For 2 Doors Only,http://ultraracing.my/ecatalog/index.php/product/bmw-e30-3-series-rear-upper-brace-c-pillar-bar-rear-upper-bar/
bmw,bmw-e38-7-series,BMW E38 7 Series Front Strut Bar / Front Tower Bar,,,,http://ultraracing.my/ecatalog/index.php/product/bmw-e38-7-series-front-strut-bar-front-tower-bar/
bmw,bmw-e32-7-series,BMW E32 7 Series Front Strut Bar / Front Tower Bar,UR-LA2-492,,Front Lower Bar / Front Member Brace	Code: UR-LA2-492	Specification: 2 Points,http://ultraracing.my/ecatalog/index.php/product/bmw-e32-7-series-front-strut-bar-front-tower-bar/
audi-2,audi-tt-8n-1-8t-1998,Audi TT 8N 1.8T (1998) Rear Strut Bar / Rear Tower Bar,UR-ML2-2091,2 Points,Middle Lower Bar / Middle Member Brace	Code: UR-ML2-2091	Specification: 2 Points	Front Lower Bar / Front Member Brace	Code: UR-LA2-2090	Specification: 2 Points	Rear Anti-roll Bar / Rear Sway Bar / Rear Stabilizer Bar	Code: UR-AR18-321	Specification: 18mm Solid	Remark: For 2WD Only,http://ultraracing.my/ecatalog/index.php/product/audi-tt-8n-1-8t-1998-rear-strut-bar-rear-tower-bar/
bmw,bmw-e34-5-series,BMW E34 5 Series Rear Sway Bar / Rear Stabilizer Bar / Rear Anti-roll Bar,UR-AR28-499,28mm Solid,Front Sway Bar / Front Stabilizer Bar / Front Anti-roll Bar	Code: UR-AR28-499	Specification: 28mm Solid	Front Strut Bar / Front Tower Bar	Code: UR-TW2-078	Specification: 2 Points	Remark: For 523i Only	Rear Strut Bar / Rear Tower Bar	Code: UR-RE2-2075	Specification: 2 Points	Front Lower Bar / Front Member Brace	Code: UR-LA2-694	Specification: 2 Points,http://ultraracing.my/ecatalog/index.php/product/bmw-e34-5-series-rear-sway-bar-rear-stabilizer-bar-rear-anti-roll-bar/
acura,acura-rl-ka-9-3-5-v6-2wd-1996,Acura RL (KA-9) 3.5 V6 2WD (1996) Front Strut Bar / Front Tower Bar,URUS-LA4-2362,4 Points,Front Lower Bar / Front Member Brace	Code: URUS-LA4-2362	Specification: 4 Points	(Fabrication based on USA models),http://ultraracing.my/ecatalog/index.php/product/acura-rl-ka-9-3-5-v6-2wd-1996-front-strut-bar-front-tower-bar/
bmw,bmw-e39-m5-4-9-v8-2wd-1998,BMW E39 M5 4.9 V8 2WD (1998) Rear Member Brace / Rear Lower Bar,URKR-TW2-3061,2 Points,Front Strut Bar / Front Upper Brace / Front Tower Bar	Code: URKR-TW2-3061	Specification: 2 Points	(Fabrication based on Korea models)	Front Member Brace / Front Lower Bar	Code: URKR-LA2-3062	Specification: 2 Points	(Fabrication based on Korea models)	Front Member Brace / Front Lower Bar	Code: URKR-LA2-3063	Specification: 2 Points	(Fabrication based on Korea models)	Rear Member Brace / Rear Lower Bar	Code: URKR-RL4-3064	Specification: 4 Points	(Fabrication based on Korea models)	,http://ultraracing.my/ecatalog/index.php/product/bmw-e39-m5-4-9-v8-2wd-1998-rear-member-brace-rear-lower-bar-2/
