博主,博文,日期,转发数,评论数,点赞数
凤凰视频,【教你快速长出令人羡慕的长睫毛】真的吗？赶紧试试，毕竟除了美还可以档雾霾 秒拍视频 ,2017-03-11 12:30,6476,1092,8390
新周刊,身材这么胖，不能忍。每月这么穷，不能忍。加班这么晚，不能忍。单身这么久，不能忍。房价这么高，不能忍。雾霾这么重，不能忍。......当代生活，不能忍的事儿实在太多，本次《新周刊》聚焦在消费领域，希望听听你的声音。#不能忍了#问卷请戳：网页链接 ,2017-03-13 13:25,1788,98,184
新京报,【董明珠铁了心也要造电动车：迫不及待解决雾霾带来的困扰】有一种执着叫董明珠做电动车。 董明珠参加节目录制时表示，为什么把汽车摆在第一呢？大家现在都渴望着环境，特别是像雾霾给我们带来的困扰，已经迫不及待地要解决。把它摆在第一个，对制造业来讲，这是很重要的责任，它已经不是简单的消费品 ,2017-03-13 09:07,171,499,642
南饴,Day132#Five Hundred Miles#晚上收到了爸爸的表白，不喝酒是不会说的 但是依然雾霾散尽，灵台清明，心头荡漾@一起练字 #一起练字# ,2017-03-14 23:59,,,9
若明天阳光依旧,终于忙里偷闲回了趟青岛，这次拿回来的除了kindle还有三本未翻烂的书，加上亚瑟士还有打底裤。真不知道在这鬼地方跑步会不会被雾霾给吸走，为了自己定下的小目标，简直连脸都不要了。去年答应了别人两件事，如今却永远完成不了了，很是遗憾以后不再轻易许诺，感觉输掉了信誉又失去了自我。无论怎 ,2017-03-14 23:58,,,
sunflower-苏苏,上海的空气质量就是这么的好风把雾霾都吹走了 ,2017-03-14 23:55,,3,1
他叫凌溪没变过,有点想念武安的雾霾。 |成都 ,2017-03-14 23:50,,2,4
做一只无忧无虑的逗逼,你见过阴天充满雾霾的夜晚吗飞机在黑暗中前行浩瀚的天空机灯每照亮一米机身便前行一米黑色笼罩下的它,2017-03-14 23:46,,,
TiTi_張,外国的月亮没比较圆，但外国的天空是比较蓝雾霾快点治好吧#摩洛哥旅行# |摩洛哥·瓦... ,2017-03-14 23:33,1,4,1
传扬中医-专治肿瘤,#肿瘤原因破解之谜# 科技在不断发展进步，然而肿瘤患者却是不断增加，赶超科技。钟南山院士讲过雾霾可能会导致肿瘤。没错，环境污染是肿瘤的罪魁祸首之一，水土空气污染可能会导致肿瘤，食品卫生可能会导致肿瘤。最近美国终于公开一直被大家怀疑，但被部分利益专家所保护的草甘磷，被证明是致癌物质。 ,2017-03-14 23:30,1,3,2
大嘴发言人,#西安秦岭空气18元一罐# 不要说不可能对呼吸收费，当雾霾严重的时候，家用空气静化器就成了生活必备电器，就等于变相对呼吸收费了。下面这条新闻，才是最直接地对呼吸收费，真要雾霾严重到空气静化器也失效的时候，民众就要真得面对购买新鲜空气的现实了。  |秦岭的空气... ,2017-03-14 23:25,,2,2
龚伟力,迈阿密的雾霾呢？ ,2017-03-14 23:12,,,3
藝paradise__,刚问我妈，我都有好久没哭了，好憋的慌，我妈说你说啥，然后一直在笑。其实我的内心真的是…没什么正经的愁事，就是情绪波动太大，大概是我又犯精神病了。愿明天雾霾吹散，我依旧元气满满 ,2017-03-14 23:08,,,
一件事用心做,最近写了一首歌，这首歌缘起于古老传说。担心，压力，琐事，都还好说，但地球没了，一切都白说，雾霾太多，路上堵车，天气忽冷忽热，躲霾避暑，日子从躲中过地球环境保护急闻入了厕明星出轨绯闻却上了头条,2017-03-14 23:00,,,1
门口康大爷,#跑步吸雾霾#上次吸完，嗓子养了一周。。。。6公里打卡发现我生日居然是白色情人节，额，还有世界圆周率日。。。 ,2017-03-14 22:52,,,1
方清医生,为了驱除“乙肝雾霾”而自由呼吸，让我们一起来努力！ - 从昨晚读《乙肝，告诉了我什么才是真正的爱》，到今天读《一个乙肝患者一直以来的恐惧m》，我的心一直很沉重，很痛很痛，花一样的年龄，多年轻的心，多好的孩子，却要因乙肝备受打击，面对这一切，心该有多疼... 网页链接 ,2017-03-14 22:50,,,1
Na-Nah,新工作很忙，一下子没了时间精力跳舞健身，于是决定天气好的时间就骑自行车上下班。单程50分钟，戴口罩，还挺锻炼心肺。去上班的一程用来提神，回家的那程用来冲淡工作的情绪。当然，夏天冬天雨天雾霾天都不行啊。。。 ,2017-03-14 22:49,,,
fshmx1,(TVB) 星期日檔案 - 面對霧霾的日子 2017-03-12 RMVB  @市场博物  2016年十二月，超過24個內地城市發出霧霾預警，有些達到最高級別「紅色預警」，估計影響達4.6億人，有些地方能見度不足十米，嚴重影響生活。 霧霾的主要成分PM2.5已被列為人類致癌物，長期暴露在PM2.5環境中，均有較高風 ,2017-03-14 22:48,,2,
李立鸿,雾霾爆发之前，有关部门众口一词说PM2.5是谣言。不过几年功夫，现在寻死寻活的卖起了新鲜空气。转基因作物也要准备如此处理吗？内经说上医治未病！不知预防之要，看来有关部门是把老祖宗忘得一干二净！『西安秦岭空气18元一罐：能闻到森林的味道_手机新浪网』|西安秦岭空... ,2017-03-14 22:46,,,1
邓超明,#雾霾催生卖空气# 林业局卖秦岭空气，18元一罐。这个生意看起来有点像恶搞，认真想想，市场空间可能有，雾霾严重的时候，用来过渡一下，能够满足呼吸新鲜空气的心理需求，但能够发挥多大的作用，很难说。有个细节要注意，盛装空气用的气罐，还有塑料罩，要杜绝污染。 ,2017-03-14 22:44,,,
过了30的80后,最信赖朋友 并肩作战六年的搭档就要离开公司了 太多的不舍 也让我看清这个公司的无奈与雾霾 世态炎凉 真希望能有挽回余地 我已经尽最大努力了 这已经是个事实！希望你在以后的工作岗位上干出一番事业 让这些人瞧瞧 加油！！！ |宿州·雪枫... ,2017-03-14 22:29,,,
晓庄郭城,《校园随笔》夜深人静的校园暗夜精灵幻化成一张张脸在树梢、在林间、在灌木丛中在街灯的背影、在楼道的门洞中你说她调皮吧，却无辜的眼神,2017-03-14 22:28,,,
左吉喆,就这样，起起伏伏……愿你的生活充满了阳光不再见雾霾；就那样，反反复复……愿一切安好抹掉痛苦忧伤！我在一方角落默默的卑微的看着你幸福成功，至少我的心是满满的。致那颗孤凄的心！ ,2017-03-14 22:07,,,
考过中级会计师在改名,就石家庄这破地房价也敢上二万我也是醉了...要啥没啥只有一堆雾霾等着你吸，大家都拿着三千多块钱工资的人鬼能买得起房子啊，还一堆没证的 村证的 瞎卖的楼盘 之前还想着买二环边上的现在三环的都买不起 算了老子也安心了 不买了 爱几把谁有钱谁买 ,2017-03-14 22:06,,29,5
贺小7,别人都是买了望远镜之后天天雾霾 我是有了“不要买望远镜天天雾霾也用不了”的想法之后就天天大晴天 ,2017-03-14 22:02,,4,
半生消失,我来了啊，在这个世上你可以听到吗我不相信人们用嘴说出的话它们使雾霾和暴雨统治了这个世界我相信 如果你知道 心脏的血液会和我流向同一个方向我已经来了,2017-03-14 21:51,,,
那名字好土,这一天天屁滚尿流加班不断～ 阴天下雨又雾霾的， 我很需要假期，娃娃很需要阳光a户外活动，值得欣慰的是预计可以积攒两天调休假，可以挑娃上学的日子好好享受] ,2017-03-14 21:33,,3,
喵所长,最近看到好多人离开北京，他们很伤心。其实我觉得大可不必。如果喜欢雾霾的话，可以去河北啊。喜欢高房价的话，还可以选深圳啊。喜欢当孙子，直接回家找爷爷啊。 ,2017-03-14 21:26,,3,
seven坚持,未来如果都开电车，天空是否更蓝一些，空气更清新一些。现在的中国人人开车，人人都是雾霾的制造者。应该学学欧洲国家，让汽车落伍，自行车当道。不用移民，也能享受天然无污染的空气。下一代的下一代…至少不会埋怨生错了国度。「废话连篇」 ,2017-03-14 21:20,,,
