博主,博文,日期,转发数,评论数,点赞数
小海豚豚豚豚豚豚豚,厦门之行结束啦 回来飞机晚点又航空管制 机场还偶遇迪丽热巴大北京这个雾霾我也是醉了，躺在舒服的床上想着明天就要上班了好桑心 真希望每个月都能出去玩六天 ,2016-12-02 23:38,,11,20
谢丹xhmi,雾霾天我也要出门 |长沙 ,2016-12-02 23:37,,,4
小洁同学思密达,入冬之前拍的为数不多的几张街景(后五张)北京的秋天就是漫天的银杏叶亮黄色打底雾霾严重拍的有点暗还是晴天拍出来好看 ,2016-12-02 23:36,,2,1
Melodyleilei,#成都雾霾# 未来三天室内活动 ,2016-12-02 23:35,,3,4
宇文阳光,在这个雾霾的深夜，我将送走我的第一个30年。三十而立，以后要承担起家庭的重担，照顾好父母、妻子以及未来的子女。工作上要更进一步，不仅仅为了收入的增加，也为了获得更多的话语权，为社会变得更美好而尽力。 |北京 ,2016-12-02 23:34,,3,4
Ecoptimisme,以前都在沿海阳光非常充足的地方生活 突然到成都来面对阴雨和雾霾 真的是非常压抑/ 我建议那些容易感伤或者经常失恋的人 不要选择来成都生活 ,2016-12-02 23:33,,,8
草将人青NK,你来，雾霾再大，我都是要去见你的 ,2016-12-02 23:33,1,6,4
中南大学校园,#晚安，中南# 周六要来咯 宝宝们有什么安排呢？雾霾天要准备好口罩呢参加马拉松的宝宝们好好休息喔加油晚安好梦 ,2016-12-02 23:28,,,5
李二狗Dylan,成都连续两天登顶中国城市排行榜，昨天是全国最幸福城市，今天是全国雾霾最严重城市，并成功跻身全球前三，是不是应该深吸一口川霾庆祝一下…… ,2016-12-02 23:27,2,4,6
弗洛伊德背单词,#深夜詞堂# 「雾霾 haze 」这词有记载是通过 back-formation 方式 (逆生法; 比如 edit 是从 editor 产生的) 由形容词 hazy 变过来的。Hazy 的意思是：看不清楚、不清楚、不懂；而且词源未知。这词拿去查字典就是去当代生活的一记重击：Hazy: unclear; uncertain. Origin: unknown. ,2016-12-02 23:27,11,11,28
秦岭松林,#雾霾又来了#今(2)日，西安空气重污染预警升至黄色，适时启动Ⅲ级应急响应。@西安环保 @西安气象 会商，未来48小时，西安空气质量中至重度污染。今晚6时，降雨。3日和4日周末不限行，如4日预警未解除，5日周一，@西安公安 @畅通西安 将依规对尾号0和5机动车限行(特种车除外)#防污治霾西安机动车限行# ,2016-12-02 23:27,5,4,
橙子味有话说,今天雾霾好吓人啊出门就是这个状态看了卓大王的直播，学着她教的的idea撕了棵圣诞树哈哈哈哈哈哈，自我感觉很像我！本！来！不！想！发！微！博！的！但！是！我！想！分！享！一！首！歌！GN.#岁月神偷-金玟岐# ,2016-12-02 23:26,2,3,4
喂喂喂_維小唯,白天的雾霾吓得人不敢跑，晚上有些雨，小区的树林里各种透出光影 和 稀稀拉拉散步的人… ,2016-12-02 23:25,,,3
left_任峻锋,清喉咙洗雾霾 ,2016-12-02 23:25,,6,10
痒气美少女,雾霾中跳舞的大妈眼中的自己 ,2016-12-02 23:25,100,48,974
